bg,perc_nh,perc_w,median_income
9705021,0.878873239,0.681126761,60478
9705022,0.740872663,0.554764025,78661
9705023,0.664794007,0.619850187,80000
9706001,0.77833002,0.540258449,50859
9706002,0.786163522,0.494496855,55417
9706003,0.852017937,0.164798206,40321
9706004,0.919254658,0.308488613,29550
9707011,0.768740032,0.447368421,74211
9707012,0.623115578,0.457286432,35625
9707021,0.664921466,0.37565445,68125
9707022,0.82464455,0.248476642,48173
9707023,0.559661278,0.101616628,38438
9707024,0.944711538,0.62099359,54426
9708011,0.877367896,0.243270189,36932
9708012,0.789915966,0.448529412,62875
9708021,0.669527897,0.33776824,42188
9708022,0.436956522,0.423913043,34258
9708023,0.661417323,0.355643045,58021